airline,traveller_type,cabin,type_of_flight,frequency,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,overall,recommended
Turkish Airlines,Business,Economy Class,Indirect,Rarely,4.0,5.0,4.0,4.0,2.0,4.0,7.0,yes
Turkish Airlines,Family Leisure,Economy Class,Direct,Rarely,4.0,1.0,1.0,1.0,1.0,1.0,2.0,no
Turkish Airlines,Business,Economy Class,Indirect,Rarely,1.0,4.0,1.0,3.0,1.0,2.0,3.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,4.0,5.0,5.0,5.0,5.0,5.0,10.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,3.0,3.0,5.0,3.0,1.0,1.0,2.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,3.0,3.0,2.0,3.0,1.0,2.0,2.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,2.0,3.0,3.0,3.0,3.0,3.0,6.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,4.0,4.0,4.0,3.0,1.0,1.0,1.0,no
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,2.0,5.0,4.0,4.0,2.0,3.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,1.0,3.0,2.0,2.0,1.0,1.0,2.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,1.0,1.0,3.0,4.0,1.0,1.0,3.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,5.0,5.0,4.0,5.0,4.0,4.0,8.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,2.0,2.0,3.0,1.0,2.0,3.0,5.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,4.0,3.0,3.0,3.0,4.0,4.0,7.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,4.0,5.0,4.0,4.0,5.0,5.0,8.0,yes
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,2.0,3.0,3.0,2.0,2.0,3.0,4.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,3.0,2.0,1.0,3.0,1.0,2.0,2.0,no
Turkish Airlines,Business,Economy Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Business Class,Indirect,Rarely,5.0,5.0,5.0,5.0,5.0,5.0,10.0,yes
Turkish Airlines,Solo Leisure,Business Class,Direct,Rarely,2.0,4.0,5.0,3.0,2.0,3.0,5.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,1.0,3.0,3.0,2.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,4.0,5.0,4.0,4.0,4.0,5.0,9.0,yes
Turkish Airlines,Couple Leisure,Economy Class,Direct,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Business,Business Class,Direct,Rarely,3.0,4.0,5.0,3.0,1.0,4.0,6.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,1.0,1.0,5.0,5.0,1.0,1.0,2.0,no
Turkish Airlines,Business,Economy Class,Direct,Rarely,4.0,3.0,4.0,5.0,5.0,4.0,6.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,5.0,5.0,5.0,5.0,4.0,4.0,10.0,yes
Turkish Airlines,Solo Leisure,Business Class,Direct,Rarely,4.0,1.0,1.0,3.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,2.0,1.0,1.0,3.0,2.0,2.0,1.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,1.0,4.0,4.0,4.0,4.0,2.0,1.0,no
Turkish Airlines,Family Leisure,Economy Class,Direct,Rarely,4.0,3.0,3.0,5.0,3.0,4.0,6.0,no
Turkish Airlines,Solo Leisure,Business Class,Indirect,Rarely,2.0,1.0,1.0,2.0,2.0,1.0,1.0,no
Turkish Airlines,Business,Economy Class,Indirect,Rarely,1.0,1.0,2.0,1.0,1.0,2.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,4.0,3.0,4.0,4.0,4.0,5.0,8.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,2.0,3.0,5.0,4.0,2.0,3.0,4.0,no
Turkish Airlines,Couple Leisure,Economy Class,Direct,Rarely,2.0,4.0,5.0,5.0,5.0,4.0,8.0,yes
Turkish Airlines,Couple Leisure,Economy Class,Direct,Rarely,3.0,5.0,5.0,5.0,5.0,5.0,9.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,4.0,4.0,4.0,5.0,4.0,5.0,8.0,yes
Turkish Airlines,Solo Leisure,Business Class,Indirect,Rarely,3.0,3.0,1.0,3.0,1.0,2.0,4.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,2.0,1.0,2.0,2.0,1.0,1.0,1.0,no
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,3.0,2.0,3.0,3.0,2.0,3.0,5.0,yes
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,3.0,2.0,2.0,3.0,3.0,2.0,2.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,2.0,2.0,1.0,2.0,1.0,1.0,1.0,no
Turkish Airlines,Business,Business Class,Indirect,Rarely,4.0,1.0,3.0,3.0,1.0,1.0,4.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,3.0,4.0,5.0,4.0,4.0,3.0,2.0,no
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,4.0,3.0,4.0,3.0,1.0,1.0,1.0,no
Turkish Airlines,Business,Economy Class,Indirect,Rarely,2.0,3.0,4.0,3.0,4.0,4.0,5.0,no
Turkish Airlines,Business,Economy Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Business Class,Indirect,Rarely,1.0,2.0,3.0,3.0,1.0,1.0,4.0,no
Turkish Airlines,Business,Economy Class,Indirect,Rarely,2.0,2.0,1.0,2.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Business Class,Direct,Rarely,3.0,1.0,2.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,4.0,5.0,5.0,4.0,3.0,5.0,8.0,yes
Turkish Airlines,Couple Leisure,Economy Class,Direct,Rarely,3.0,3.0,4.0,1.0,1.0,2.0,4.0,no
Turkish Airlines,Business,Economy Class,Indirect,Rarely,2.0,2.0,3.0,1.0,1.0,3.0,2.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,2.0,4.0,3.0,4.0,2.0,1.0,3.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,4.0,4.0,2.0,1.0,5.0,3.0,7.0,no
Turkish Airlines,Couple Leisure,Economy Class,Direct,Rarely,5.0,5.0,5.0,5.0,5.0,5.0,10.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,5.0,5.0,5.0,5.0,4.0,5.0,10.0,yes
Turkish Airlines,Business,Economy Class,Direct,Rarely,3.0,5.0,5.0,4.0,5.0,4.0,7.0,yes
Turkish Airlines,Business,Business Class,Direct,Rarely,3.0,1.0,1.0,2.0,4.0,1.0,1.0,no
Turkish Airlines,Business,Economy Class,Direct,Rarely,4.0,4.0,4.0,4.0,4.0,4.0,8.0,yes
Turkish Airlines,Business,Economy Class,Direct,Rarely,1.0,2.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Business,Business Class,Indirect,Rarely,4.0,5.0,5.0,5.0,5.0,5.0,10.0,yes
Turkish Airlines,Business,Economy Class,Direct,Rarely,3.0,4.0,4.0,2.0,4.0,4.0,8.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,3.0,1.0,1.0,2.0,1.0,2.0,1.0,no
Turkish Airlines,Business,Business Class,Direct,Rarely,2.0,1.0,2.0,1.0,1.0,3.0,1.0,no
Turkish Airlines,Solo Leisure,Business Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Business Class,Indirect,Rarely,5.0,5.0,5.0,5.0,5.0,5.0,10.0,yes
Turkish Airlines,Business,Business Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,3.0,3.0,3.0,3.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,3.0,3.0,3.0,4.0,3.0,2.0,3.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,4.0,4.0,3.0,3.0,1.0,3.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,5.0,5.0,5.0,3.0,4.0,3.0,8.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,5.0,5.0,4.0,4.0,4.0,2.0,2.0,yes
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,2.0,2.0,2.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Business,Economy Class,Indirect,Rarely,3.0,3.0,2.0,3.0,1.0,2.0,1.0,no
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,2.0,1.0,2.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,3.0,1.0,3.0,3.0,1.0,3.0,4.0,no
Turkish Airlines,Family Leisure,Economy Class,Direct,Rarely,1.0,1.0,1.0,2.0,1.0,1.0,2.0,no
Turkish Airlines,Family Leisure,Business Class,Direct,Rarely,5.0,5.0,5.0,4.0,5.0,5.0,10.0,yes
Turkish Airlines,Solo Leisure,Business Class,Indirect,Rarely,2.0,1.0,1.0,2.0,1.0,1.0,1.0,no
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Business Class,Indirect,Rarely,5.0,2.0,1.0,4.0,4.0,3.0,6.0,no
Turkish Airlines,Business,Economy Class,Indirect,Rarely,2.0,4.0,4.0,3.0,1.0,2.0,4.0,no
Turkish Airlines,Family Leisure,Economy Class,Direct,Rarely,1.0,1.0,1.0,3.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,3.0,2.0,3.0,3.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,1.0,2.0,2.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Business,Business Class,Indirect,Rarely,4.0,5.0,4.0,3.0,2.0,3.0,5.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,2.0,1.0,2.0,3.0,1.0,1.0,1.0,no
Turkish Airlines,Business,Business Class,Direct,Occasionally,5.0,5.0,5.0,5.0,3.0,5.0,8.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,3.0,3.0,4.0,3.0,3.0,3.0,4.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,3.0,3.0,3.0,4.0,1.0,1.0,3.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Often,3.0,2.0,2.0,3.0,2.0,3.0,3.0,no
Turkish Airlines,Business,Economy Class,Direct,Often,3.0,4.0,3.0,1.0,3.0,4.0,3.0,yes
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,2.0,3.0,3.0,5.0,1.0,2.0,3.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,4.0,3.0,5.0,5.0,3.0,5.0,8.0,yes
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,2.0,1.0,1.0,2.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Business Class,Indirect,Rarely,5.0,4.0,5.0,3.0,1.0,2.0,6.0,yes
Turkish Airlines,Family Leisure,Economy Class,Direct,Rarely,2.0,2.0,2.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,4.0,1.0,1.0,5.0,2.0,3.0,3.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,4.0,3.0,3.0,3.0,1.0,3.0,3.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,4.0,5.0,5.0,5.0,4.0,5.0,8.0,yes
Turkish Airlines,Business,Economy Class,Indirect,Rarely,1.0,4.0,1.0,3.0,3.0,1.0,2.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,5.0,5.0,5.0,4.0,5.0,5.0,10.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,2.0,2.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,4.0,5.0,5.0,4.0,3.0,5.0,8.0,yes
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,2.0,2.0,2.0,2.0,1.0,1.0,1.0,no
Turkish Airlines,Business,Economy Class,Indirect,Rarely,3.0,3.0,4.0,4.0,3.0,2.0,4.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,1.0,2.0,3.0,3.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Business Class,Direct,Occasionally,4.0,5.0,5.0,5.0,2.0,5.0,7.0,yes
Turkish Airlines,Solo Leisure,Business Class,Direct,Rarely,5.0,5.0,4.0,3.0,5.0,5.0,9.0,yes
Turkish Airlines,Family Leisure,Economy Class,Direct,Rarely,1.0,1.0,1.0,1.0,2.0,2.0,2.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,2.0,2.0,4.0,3.0,1.0,3.0,3.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,3.0,3.0,3.0,5.0,3.0,4.0,7.0,yes
Turkish Airlines,Business,Business Class,Indirect,Rarely,4.0,4.0,5.0,4.0,3.0,4.0,9.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,1.0,2.0,3.0,3.0,2.0,1.0,1.0,no
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,4.0,5.0,4.0,5.0,5.0,4.0,9.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,4.0,5.0,5.0,4.0,5.0,4.0,9.0,yes
Turkish Airlines,Couple Leisure,Economy Class,Direct,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Economy Class,Direct,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,3.0,5.0,5.0,5.0,4.0,4.0,9.0,yes
Turkish Airlines,Business,Economy Class,Direct,Rarely,4.0,5.0,4.0,5.0,1.0,4.0,5.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,3.0,3.0,3.0,3.0,1.0,2.0,1.0,no
Turkish Airlines,Business,Economy Class,Direct,Rarely,3.0,3.0,3.0,4.0,1.0,3.0,4.0,no
Turkish Airlines,Business,Business Class,Indirect,Rarely,1.0,3.0,3.0,2.0,1.0,2.0,3.0,no
Turkish Airlines,Couple Leisure,Economy Class,Direct,Rarely,2.0,3.0,3.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Business,Economy Class,Direct,Rarely,1.0,2.0,3.0,4.0,3.0,3.0,2.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,5.0,5.0,4.0,5.0,4.0,5.0,9.0,yes
Turkish Airlines,Couple Leisure,Business Class,Indirect,Rarely,4.0,4.0,4.0,4.0,3.0,5.0,9.0,yes
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,2.0,4.0,4.0,4.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,3.0,3.0,3.0,3.0,1.0,3.0,3.0,no
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Family Leisure,Economy Class,Direct,Rarely,4.0,3.0,3.0,3.0,4.0,4.0,9.0,yes
Turkish Airlines,Family Leisure,Business Class,Direct,Rarely,4.0,4.0,4.0,3.0,4.0,3.0,7.0,yes
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,4.0,4.0,4.0,4.0,1.0,3.0,1.0,no
Turkish Airlines,Business,Business Class,Indirect,Rarely,3.0,3.0,3.0,3.0,1.0,2.0,1.0,no
Turkish Airlines,Family Leisure,Economy Class,Direct,Rarely,4.0,5.0,3.0,5.0,4.0,5.0,10.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,3.0,1.0,4.0,3.0,1.0,2.0,1.0,no
Turkish Airlines,Solo Leisure,Business Class,Direct,Rarely,3.0,4.0,4.0,4.0,3.0,4.0,7.0,yes
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,4.0,1.0,3.0,5.0,1.0,3.0,3.0,no
Turkish Airlines,Solo Leisure,Business Class,Indirect,Rarely,3.0,5.0,2.0,4.0,1.0,4.0,7.0,yes
Turkish Airlines,Couple Leisure,Business Class,Direct,Rarely,4.0,3.0,4.0,3.0,1.0,3.0,5.0,yes
Turkish Airlines,Solo Leisure,Business Class,Direct,Rarely,3.0,4.0,5.0,3.0,4.0,3.0,6.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,5.0,5.0,5.0,5.0,5.0,5.0,10.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,1.0,2.0,4.0,2.0,1.0,3.0,2.0,no
Turkish Airlines,Couple Leisure,Business Class,Indirect,Rarely,4.0,4.0,4.0,4.0,2.0,4.0,6.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,2.0,4.0,2.0,3.0,1.0,3.0,2.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,2.0,3.0,3.0,3.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,2.0,2.0,1.0,1.0,1.0,2.0,1.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,4.0,3.0,4.0,3.0,3.0,5.0,7.0,yes
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,3.0,1.0,2.0,2.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,3.0,3.0,3.0,4.0,2.0,2.0,2.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,2.0,1.0,4.0,4.0,1.0,1.0,1.0,no
Turkish Airlines,Business,Economy Class,Direct,Rarely,4.0,5.0,4.0,5.0,5.0,5.0,9.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,2.0,1.0,1.0,2.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,3.0,3.0,2.0,4.0,1.0,3.0,3.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,4.0,2.0,4.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,4.0,4.0,4.0,4.0,4.0,4.0,9.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,3.0,3.0,2.0,2.0,2.0,2.0,2.0,no
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,1.0,1.0,1.0,2.0,3.0,2.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,2.0,2.0,3.0,2.0,1.0,1.0,1.0,no
Turkish Airlines,Family Leisure,Economy Class,Direct,Rarely,2.0,1.0,1.0,2.0,1.0,1.0,3.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,2.0,3.0,3.0,4.0,1.0,2.0,2.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,4.0,5.0,5.0,5.0,2.0,5.0,8.0,yes
Turkish Airlines,Family Leisure,Economy Class,Direct,Rarely,5.0,4.0,1.0,5.0,5.0,3.0,7.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,3.0,3.0,3.0,3.0,1.0,2.0,3.0,no
Turkish Airlines,Business,Economy Class,Indirect,Rarely,1.0,2.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Business,Economy Class,Indirect,Rarely,3.0,1.0,2.0,2.0,1.0,2.0,2.0,no
Turkish Airlines,Couple Leisure,Economy Class,Direct,Rarely,5.0,5.0,5.0,5.0,5.0,5.0,10.0,yes
Turkish Airlines,Business,Business Class,Indirect,Rarely,1.0,2.0,2.0,2.0,2.0,2.0,5.0,no
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,5.0,5.0,5.0,5.0,5.0,5.0,9.0,yes
Turkish Airlines,Business,Economy Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Business Class,Indirect,Rarely,1.0,2.0,2.0,2.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Business Class,Direct,Rarely,3.0,1.0,1.0,2.0,2.0,1.0,3.0,no
Turkish Airlines,Couple Leisure,Premium Economy,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,4.0,4.0,5.0,4.0,1.0,1.0,3.0,no
Turkish Airlines,Business,Business Class,Indirect,Often,4.0,5.0,5.0,5.0,3.0,5.0,9.0,yes
Turkish Airlines,Business,Economy Class,Indirect,Rarely,4.0,1.0,2.0,5.0,3.0,2.0,2.0,no
Turkish Airlines,Business,Business Class,Indirect,Rarely,3.0,4.0,3.0,4.0,1.0,3.0,3.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,2.0,1.0,2.0,2.0,1.0,2.0,2.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,4.0,5.0,5.0,5.0,5.0,5.0,10.0,yes
Turkish Airlines,Solo Leisure,Business Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,1.0,2.0,2.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,3.0,5.0,5.0,5.0,5.0,5.0,10.0,yes
Turkish Airlines,Solo Leisure,Business Class,Direct,Rarely,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,4.0,5.0,3.0,5.0,5.0,5.0,8.0,yes
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,2.0,2.0,2.0,2.0,1.0,1.0,1.0,no
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,3.0,1.0,3.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Business,Business Class,Direct,Rarely,1.0,1.0,2.0,1.0,1.0,2.0,4.0,no
Turkish Airlines,Business,Economy Class,Direct,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,3.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,1.0,5.0,4.0,3.0,1.0,3.0,2.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,3.0,1.0,1.0,3.0,1.0,1.0,1.0,no
Turkish Airlines,Business,Economy Class,Direct,Rarely,1.0,4.0,3.0,1.0,3.0,1.0,2.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,2.0,3.0,3.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,1.0,3.0,3.0,1.0,2.0,2.0,3.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,5.0,5.0,5.0,5.0,4.0,5.0,9.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,2.0,2.0,3.0,3.0,1.0,2.0,2.0,no
Turkish Airlines,Family Leisure,Economy Class,Direct,Rarely,4.0,5.0,5.0,5.0,5.0,5.0,9.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,3.0,3.0,3.0,3.0,2.0,2.0,3.0,no
Turkish Airlines,Business,Economy Class,Direct,Rarely,3.0,4.0,3.0,3.0,3.0,1.0,2.0,no
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,4.0,5.0,4.0,4.0,5.0,5.0,9.0,yes
Turkish Airlines,Couple Leisure,Economy Class,Direct,Rarely,5.0,5.0,5.0,4.0,2.0,5.0,9.0,yes
Turkish Airlines,Business,Economy Class,Indirect,Rarely,2.0,2.0,1.0,1.0,2.0,1.0,3.0,no
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,1.0,2.0,4.0,4.0,1.0,2.0,2.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,1.0,1.0,2.0,2.0,1.0,1.0,3.0,no
Turkish Airlines,Business,Economy Class,Indirect,Rarely,5.0,5.0,5.0,3.0,4.0,5.0,10.0,yes
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,1.0,1.0,1.0,1.0,1.0,2.0,1.0,no
Turkish Airlines,Couple Leisure,Economy Class,Direct,Rarely,5.0,5.0,5.0,5.0,5.0,5.0,10.0,yes
Turkish Airlines,Family Leisure,Economy Class,Indirect,Rarely,1.0,2.0,2.0,2.0,1.0,2.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Direct,Rarely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,4.0,5.0,5.0,4.0,5.0,5.0,9.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,4.0,5.0,5.0,4.0,5.0,5.0,9.0,yes
Turkish Airlines,Solo Leisure,Economy Class,Indirect,Rarely,4.0,3.0,3.0,4.0,1.0,2.0,1.0,no
Turkish Airlines,Couple Leisure,Economy Class,Indirect,Rarely,4.0,4.0,4.0,4.0,4.0,5.0,9.0,yes
